statut_commercialisation,specialite,dosage,forme,presentation,class_therapeutique,PPV
Commercialisé,HEMO-PUR AG,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,BIDON DE 5 L,UROLOGIE-NEPHROLOGIE,"63,2"
Commercialisé,HEMO-PUR AG5,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,BIDON DE 5 L,UROLOGIE-NEPHROLOGIE,"63,2"
Commercialisé,HEMO-PUR AG,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,BIDON DE 6 L,UROLOGIE-NEPHROLOGIE,"75,8"
Commercialisé,HEMO-PUR AG5,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,BIDON DE 6 L,UROLOGIE-NEPHROLOGIE,"75,8"
Commercialisé,HEMO-PUR AG,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,BIDON DE 1000 L,UROLOGIE-NEPHROLOGIE,6178
Commercialisé,HEMO-PUR AG5,,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE,TRANSCUVE DE 1000 L,UROLOGIE-NEPHROLOGIE,6539
Commercialisé,HEMO-PUR B1,0,SOLUTE POUR HEMODIALYSE,BIDON DE 9 L,UROLOGIE-NEPHROLOGIE,"107,7"
Commercialisé,HEMO-PUR B1,"23,53  /  63,95 G  /  L",SOLUTE POUR HEMODIALYSE,BIDON DE 10 L,UROLOGIE-NEPHROLOGIE,"108,8"
Commercialisé,HEMO-PUR B1,"23,53  /  65,95 G  /  L",SOLUTE POUR HEMODIALYSE,BIDON DE 5 L,UROLOGIE-NEPHROLOGIE,64
Commercialisé,HEPARINE MEDIS,25 000 UI,SOLUTION INJECTABLE,BOITE DE 10 FLACON DE 5 ML,CANCEROLOGIE-HEMATOLOGIE,762
Non Commercialisé,IPRATROPIUM AGUETTANT ADULTES,"0,5   MG  /  2  ML",SOLUTION POUR INHALATION,BOITE DE 10 RECIPIENT UNIDOSE DE 2 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"57,6"
Retiré du Marché,IPRATROPIUM AGUETTANT ENFANTS,"0,25   MG  /   ML",SOLUTION POUR INHALATION,BOITE DE 10 RECIPIENT UNIDOSE DE 1 ML,-,"40,3"
Commercialisé,LIDOCAINE / PRILOCAINE AGUETTANT,"5% (2,5 G - 2,5 G)",CREME + PANSEMENTS,BOITE DE 5 TUBES DE CREME + 10 PANSEMENTS,ANESTHESIE-REANIMATION,"174,7"
Non Commercialisé,METRONIDAZOLE MEGDICH PHARMA,"0,005",SOLUTE INJECTABLE,POCHE DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,15
Commercialisé,MIDAZOLAM AGUETTANT,1   MG  /   ML,SOLUTE INJECTABLE,BOITE DE 10 AMPOULES DE 5 ML,ANESTHESIE-REANIMATION,"118,1"
Commercialisé,MIDAZOLAM AGUETTANT,5   MG  /   ML,SOLUTE INJECTABLE,BOITE DE 10 AMPOLUES DE 10 ML,ANESTHESIE-REANIMATION,666
Retiré du Marché,MIDAZOLAM AGUETTANT,5   MG  /  5  ML,SOLUTE INJECTABLE,BOITE DE 10 AMPOULES DE 1 ML,-,"126,4"
Non Commercialisé,NALBUPHINE AGUETTANT,20   MG  /  2  ML,SOLUTE INJECTABLE,BOITE DE 10 AMPOULES,ANESTHESIE-REANIMATION,264
Commercialisé,NICARDIPINE AGUETTANT,10   MG  /  10  ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOLUES DE 10ML,CARDIOLOGIE-ANGEIOLOGIE,"153,8"
Non Commercialisé,NONAN,0,SOLUTION INJECTABLE POUR PERFUSION,BOITE DE 25 FLACONS DE 40 ML,ANESTHESIE-REANIMATION,1023
Commercialisé,NORADRENALINE TARTRATE AGUETTANT,"0,002",SOLUTE INJECTABLE,BOITE DE 10 AMPOULES DE 4 ML,ANESTHESIE-REANIMATION,756
Non Commercialisé,OLIGO-ELEMENTS AGUETTANT,"431,710   MG  /  214,60   MG  / 87,600   MG  /  779,630   MG  /  110,530   MG  /  114,340   MG  /  10,950   MG  /  5,910   MG  /  10,25   MG  /  9,2   MG",SOLUTION INJECTABLE,BOITE DE 1 FLACON DE 10 ML,ANESTHESIE-REANIMATION,"45,8"
Retiré du Marché,ONDANSETRON AGUETTANT,2   MG  /   ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES DE 2 ML,-,326
Retiré du Marché,ONDANSETRON AGUETTANT,2   MG  /   ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES DE 4 ML,-,522
Retiré du Marché,OXALISIN,5   MG  /   ML,CONCENTRE POUR SOLUTION POUR PERFUSION,BOITE D'UN 1 FLACON DE 10ML,-,1089
Retiré du Marché,OXALISIN,5   MG  /   ML,CONCENTRE POUR SOLUTION POUR PERFUSION,BOITE D'UN 1 FLACON DE 20 ML,-,1864
Retiré du Marché,PACLITAXEL PHARMACHEMIE,6   MG  /   ML,CONCENTRE POUR SOLUTION POUR PERFUSION,"FLACON DE 100 MG / 16,7 ML",-,823
Retiré du Marché,PACLITAXEL PHARMACHEMIE,6   MG  /   ML,CONCENTRE POUR SOLUTION POUR PERFUSION,FLACON DE 150 MG / 25 ML,-,1341
Retiré du Marché,PACLITAXEL PHARMACHEMIE,6   MG  /   ML,CONCENTRE POUR SOLUTION POUR PERFUSION,FLACON DE 300 MG / 50 ML,-,2069
Retiré du Marché,PACLITAXEL PHARMACHEMIE,6   MG  /   ML,CONCENTRE POUR SOLUTION POUR PERFUSION,FLACON DE 30 M / 5 ML,-,430
Commercialisé,PHENYLEPHRINE AGUETTANT,50 µG  /   ML,SOLUTION INJECTABLE,BOITE DE 10 SERINGUES PREREMPLIES DE 10 ML,ANESTHESIE-REANIMATION,1365
Non Commercialisé,PLASMOHES,"0,06",SOLUTION POUR PERFUSION,BOITE DE 20 POCHES DE 500 ML,ANESTHESIE-REANIMATION,1845
Non Commercialisé,RESINCALCIO,"99,75 G  /  100 G",POUDRE POUR SUSPENSION ORALE,FLACON DE 400 G,-,333
Non Commercialisé,RESINSODIO,"99,75 G  /  100 G",POUDRE POUR SUSPENSION ORALE,FLACON DE 400 G,-,333
Non Commercialisé,ROYEN,500   MG,CAPSULE DURE,BOITE DE 120,UROLOGIE-NEPHROLOGIE,"130,8"
Non Commercialisé,SALBUTAMOL IVAX CFC-FREE,100 µG,SUSPENSION POUR INHALATION,BOITE DE 200 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,"41,5"
Commercialisé,SULAFTE DE MAGNESIUM PROAMP,"0,15 G  /   ML",SOLUTE INJECTABLE,BOITE DE 50 AMPOULES DE 10ML,GYNECOLOGIE-OBSTETRIQUE,200
Commercialisé,TEGELINE,50   MG  /   ML,POUDRE ET SOLVANT POUR SOLUTION POUR PERFUSION,FLACON DE 5 G DE POUDRE ET FLACON DE 100 ML DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,2851
Commercialisé,VIALEBEX,200   MG  /   ML,SOLUTION INJECTABLE,FLACON DE 100 ML,ANESTHESIE-REANIMATION,1096
Commercialisé,VIALEBEX,200   MG  /   ML,SOLUTION INJECTABLE,FLACON DE 50 ML,ANESTHESIE-REANIMATION,638
Non Commercialisé,WILFACTIN,100 UI  /   ML,SOLUTION INJECTABLE,FLACON DE 10ML,CANCEROLOGIE-HEMATOLOGIE,10654
Non Commercialisé,YDRALBUM,200 G  /  L,SOLUTION PEUR PERFUSION,BOITE D'UN FLACON DE 100 ML,ANESTHESIE-REANIMATION,1096
Non Commercialisé,YDRALBUM,200 G  /  L,SOLUTION PEUR PERFUSION,BOITE D'UN FLACON DE 50 ML,ANESTHESIE-REANIMATION,638
Commercialisé,ACFOL,5   MG,COMPRIME,BOITE DE 28,HEMATOLOGIE ET HEMOSTASE,"24,5"
Non Commercialisé,ACIDE ALENDRONIQUE NORMON,70   MG,COMPRIME,BOITE DE 4,RHUMATOLOGIE,"164,5"
Commercialisé,ALGIXENE,250   MG,GELULE,BOITE DE 30,ANESTHESIE-REANIMATION,"44,8"
Commercialisé,ALGIXENE,500   MG,SUPPOSITOIRE,BOITE DE 12,ANESTHESIE-REANIMATION,"38,1"
Commercialisé,ALIVIAR,50   MG,GELULE,BOITE DE 20,NEUROLOGIE-PSYCHIATRIE,"25,2"
Non Commercialisé,APIRETIL,100   MG  /   ML,SOLUTION BUVABLE,BOITE DE 1 FLACON DE 30 ML,ANESTHESIE-REANIMATION,"17,9"
Commercialisé,APIRETIL,100   MG  /   ML,SOLUTION BUVABLE,BOITE DE 1 FLACON DE 60 ML,ANESTHESIE-REANIMATION,"26,5"
Non Commercialisé,APITHER SOUE-CUTANE ENTRETIEN,1000 UBT,SUSPENSION INJECTABLE,FLACON DE 4 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,418
Non Commercialisé,APITHER SOUE-CUTANE INITIAL,1  /  10  /  100 UBT,SUSPENSION INJECTABLE,BOITE DE 3 FLACON DE 4 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,617
Non Commercialisé,APITHER SUBLINGUAL ENTRETIEN,1000 UBT,SOLUTION D'EXTRAITS ALLERGENIQUES,BOITE DE 2 FLACON DE 5 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,1089
Non Commercialisé,APITHER SUBLINGUAL INITIAL,40  /  200  /  1000 UBT,SOLUTION D'EXTRAITS ALLERGENIQUES,BOITE DE 3 FLACONS DE 5 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,781
Commercialisé,AULCER,20   MG,GELULE,BOITE DE 14,GASTRO-ENTERO-HEPATOLOGIE,"49,3"
Commercialisé,AULCER,20   MG,GELULE,BOITE DE 28,GASTRO-ENTERO-HEPATOLOGIE,"95,3"
Commercialisé,BLISSEL,50 µG  /  G,GEL VAGINAL,TUBE DE 10 G,GYNECOLOGIE-OBSTETRIQUE,"91,6"
Commercialisé,CADELIUS,600   MG  /  1000 UI,COMPRIME ORODISPERSIBLE,BOITE DE 30,METABOLISME-DIABETE-NUTRITION,"105,3"
Commercialisé,CARBAMAZEPINE NORMON,200   MG,COMPRIME,BOITE DE 50,NEUROLOGIE-PSYCHIATRIE,"35,6"
Commercialisé,CARBAMAZEPINE NORMON,400   MG,COMPRIME,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"35,6"
Non Commercialisé,CHOLESTIN,10   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"79,4"
Non Commercialisé,CHOLESTIN,20   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,91
Non Commercialisé,CHOLESTIN,40   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"159,6"
Retiré du Marché,CIPROFLOXACINE NORMON,2   MG  /   ML,SOLUTION POUR PERFUSION (IV),BOITE DE 1 FLACON DE 100 ML,-,"87,6"
Retiré du Marché,CIPROFLOXACINE NORMON,2   MG  /   ML,SOLUTION POUR PERFUSION (IV),BOITE DE 1 FLACON DE 200 ML,-,"142,1"
Retiré du Marché,CIPROFLOXACINE NORMON,2   MG  /   ML,SOLUTION POUR PERFUSION (IV),BOITE DE 20 FLACON DE 200 ML,-,1722
Non Commercialisé,CIPROFLOXACINE NORMON,2   MG  /   ML,SOLUTION POUR PERFUSION (IV),BOITE DE 20 POCHES DE 200 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1722
Commercialisé,CIPROFLOXACINE NORMON,2   MG  /   ML,SOLUTION POUR PERFUSION (IV),BOITE DE 50 FLACONS DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,2591
Retiré du Marché,CIPROFLOXACINE NORMON,2   MG  /   ML,SOLUTION POUR PERFUSION (IV),BOITE DE 50 POCHES DE 100 ML,-,2591
Non Commercialisé,CISATRACURIUM NORMON,2   MG  /   ML,SOLUTION INJECTABLE POUR PERFUSION,BOITE DE 5 FLACONS DE 10 ML,ANESTHESIE-REANIMATION,"153,4"
Non Commercialisé,CISATRACURIUM NORMON,2   MG  /   ML,SOLUTION INJECTABLE POUR PERFUSION,BOITE DE 5 FLACONS DE 5 ML,ANESTHESIE-REANIMATION,"151,2"
Non Commercialisé,CISATRACURIUM NORMON,5   MG  /   ML,SOLUTION INJECTABLE POUR PERFUSION,BOITE D'UN FLACON DE 30 ML,ANESTHESIE-REANIMATION,315
Commercialisé,CRONODINE LP,120   MG,GELULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"113,5"
Commercialisé,CRONODINE LP,240   MG,GELULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,165
Commercialisé,DEXELYA,75 µG,COMPRIME PELLICULE,BOITE DE 28,GYNECOLOGIE-OBSTETRIQUE,"39,2"
Non Commercialisé,DIGERVIN,20   MG,COMPRIME,BOITE DE 10,GASTRO-ENTERO-HEPATOLOGIE,"24,2"
Non Commercialisé,DIGERVIN,20   MG,COMPRIME,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"42,6"
Non Commercialisé,DIGERVIN,40   MG,COMPRIME,BOITE DE 10,GASTRO-ENTERO-HEPATOLOGIE,"44,4"
Commercialisé,EXEMESTANE NORMON,25   MG,COMPRIME PELLICULE,BOITE DE 30,CANCEROLOGIE-HEMATOLOGIE,518
Commercialisé,FERPLEX,40   MG  /  15  ML,SOLUTION BUVABLE,BOITE DE 10 FLACONS DE 15 ML,METABOLISME-DIABETE-NUTRITION,"56,1"
Commercialisé,FERPLEX FOL,40   MG  /  15  ML,SOLUTION BUVABLE EN FLACON UNI-DOSE,BOITE DE 10,METABOLISME-DIABETE-NUTRITION,"87,9"
Commercialisé,GYSELLE,"2   MG  /  0,03  ML",COMPRIME PELLICULE,BOITE DE 21,GYNECOLOGIE-OBSTETRIQUE,43
Commercialisé,GYSELLE,"2   MG  /  0,03   MG",COMPRIME PELLICULE,BOITE DE 63,GYNECOLOGIE-OBSTETRIQUE,"110,9"
Retiré du Marché,HERPEVIR,"0,05",CREME,TUBE DE 10 G,-,40
Retiré du Marché,HERPEVIR,"0,05",CREME,TUBE DE 2 G,-,25
Retiré du Marché,HERPEVIR,200   MG,COMPRIME,BOITE DE 25,-,171
Retiré du Marché,HERPEVIR,800   MG,COMPRIME,BOITE DE 35,-,736
Commercialisé AO,HIBOR,10000 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 10 SERINGUES PRE-REMPLIES DE 0,4 ML",CANCEROLOGIE-HEMATOLOGIE,1339
Commercialisé,HIBOR,10000 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 2 SERINGUES PRE-REMPLIES DE 0,4 ML",CANCEROLOGIE-HEMATOLOGIE,364
Commercialisé AO,HIBOR,10000 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 30 SERINGUES PRE-REMPLIES DE 0,4 ML",CANCEROLOGIE-HEMATOLOGIE,2775
Non Commercialisé,HIBOR,2500 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 10 SERINGUES PRE-REMPLIES DE 0,2 ML",CANCEROLOGIE-HEMATOLOGIE,226
Non Commercialisé,HIBOR,2500 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 2 SERINGUES PRE-REMPLIES DE 0,2 ML",CANCEROLOGIE-HEMATOLOGIE,"53,3"
Non Commercialisé,HIBOR,2500 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 30 SERINGUES PRE-REMPLIES DE 0,2 ML",CANCEROLOGIE-HEMATOLOGIE,624
Commercialisé AO,HIBOR,3500 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 10 SERINGUES PRE-REMPLIES DE 0,2 ML",CANCEROLOGIE-HEMATOLOGIE,414
Commercialisé,HIBOR,3500 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 2 SERINGUES PRE-REMPLIES DE 0,2 ML",CANCEROLOGIE-HEMATOLOGIE,"98,5"
Commercialisé AO,HIBOR,3500 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 30 SERINGUES PRE-REMPLIES DE 0,2 ML",CANCEROLOGIE-HEMATOLOGIE,1029
Commercialisé AO,HIBOR,5000 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 10 SERINGUES PRE-REMPLIES DE 0,2 ML",CANCEROLOGIE-HEMATOLOGIE,792
Commercialisé,HIBOR,5000 UI ANTI XA,SOLUTION INJECTABLE,BOITE DE 2 SERINGUES PRE-REMPLIES DE 2 ML,CANCEROLOGIE-HEMATOLOGIE,"159,2"
Commercialisé AO,HIBOR,5000 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 30 SERINGUES PRE-REMPLIES DE 0,2 ML",CANCEROLOGIE-HEMATOLOGIE,1839
Commercialisé AO,HIBOR,7500 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 10 SERINGUES PRE-REMPLIES DE 0,3 ML",CANCEROLOGIE-HEMATOLOGIE,1179
Commercialisé,HIBOR,7500 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 2 SERINGUES PRE-REMPLIES DE 0,3 ML",CANCEROLOGIE-HEMATOLOGIE,288
Commercialisé AO,HIBOR,7500 UI ANTI XA,SOLUTION INJECTABLE,"BOITE DE 30 SERINGUES PRE-REMPLIES DE 0,3 ML",CANCEROLOGIE-HEMATOLOGIE,2338
Commercialisé,IBEFLOX,200   MG,COMPRIME,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"57,9"
Commercialisé,IBERTIN,1 G  /  125   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 12 SACHETS DOSE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"86,9"
Non Commercialisé,IBERTIN,1 G  /  125   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 14 SACHETS DOSE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"101,4"
Commercialisé,IBERTIN,1 G  /  125   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 16 SACHETS DOSE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"115,9"
Commercialisé,IBERTIN,1 G  /  125   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 24 SACHETS DOSE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"156,1"
Commercialisé,IBERTIN,"500   MG  /  62,5   MG",POUDRE POUR SUSPENSION BUVABLE,BOITE DE 12 SACHETS DOSE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,62
Non Commercialisé,IBERTIN,"500   MG  /  62,5   MG",POUDRE POUR SUSPENSION BUVABLE,BOITE DE 14 SACHETS DOSE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"72,3"
Commercialisé,IBERTIN,"500   MG  /  62,5   MG",POUDRE POUR SUSPENSION BUVABLE,BOITE DE 16 SACHETS DOSE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"82,5"
Commercialisé,IBERTIN,"500   MG  /  62,5   MG",POUDRE POUR SUSPENSION BUVABLE,BOITE DE 24 SACHETS DOSE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"109,3"
Commercialisé,IDOL,100   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"18,6"
Commercialisé,IDOL,100   MG,SUPPOSITOIRE,BOITE DE 20,ANESTHESIE-REANIMATION,"34,5"
Retiré du Marché,KOMBIGLYSE XR,"2,5   MG  /  1000   MG",COMPRIME PELLICULE,BOITE DE 60,-,386
Commercialisé,LABIXTEN,20   MG,COMPRIME,BOITE DE 10,PNEUMO-ALLERGO-PHTYSIOLOGIE,31
Commercialisé,LABIXTEN,20   MG,COMPRIME,BOITE DE 20,PNEUMO-ALLERGO-PHTYSIOLOGIE,"62,1"
Commercialisé,LABIXTEN,20   MG,COMPRIME,BOITE DE 30,PNEUMO-ALLERGO-PHTYSIOLOGIE,"93,1"
Retiré du Marché,LEVOFLOXACINE NORMON,5   MG  /   ML,SOLUTION POUR PERFUSION (IV),BOITE DE 1 FLACON DE 100 ML,-,304
Non Commercialisé,LEVOFLOXACINE NORMON,5   MG  /   ML,SOLUTION POUR PERFUSION (IV),BOITE DE 1 POCHE DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,284
Commercialisé,LEVOFLOXACINE NORMON,5   MG  /   ML,SOLUTION POUR PERFUSION (IV),BOITE DE 20 POCHES DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,3339
Retiré du Marché,LEVOFLOXACINE NORMON,5   MG  /   ML,SOLUTION POUR PERFUSION INTRAVEINEUSE,BOITE DE 20 FLACON DE 100 ML,-,3573
Commercialisé,IBERMOX,15   MG,COMPRIME,BOITE DE 10,ANESTHESIE-REANIMATION,"37,1"
Commercialisé,IBERMOX,15   MG,COMPRIME,BOITE DE 20,ANESTHESIE-REANIMATION,"72,6"
Non Commercialisé,IBERMOX,15   MG,COMPRIME,BOITE DE 30,ANESTHESIE-REANIMATION,"95,8"
Commercialisé,IBERMOX,"7,5   MG",COMPRIME,BOITE DE 10,ANESTHESIE-REANIMATION,"27,6"
Commercialisé,IBERMOX,"7,5   MG",COMPRIME,BOITE DE 20,ANESTHESIE-REANIMATION,51
Non Commercialisé,IBERMOX,"7,5   MG",COMPRIME,BOITE DE 30,ANESTHESIE-REANIMATION,"67,4"
Commercialisé,METRONIDAZOLE NORMON,5   MG  /   ML,Solution pour perfusion,Boite de 50 poches de 100 ml,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,961
Commercialisé,MYCODERME,"0,01",CREME,TUBE DE 40 G,DERMATOLOGIE-VENEROLOGIE,"34,3"
Commercialisé,MYCODERME,"0,01",POUDRE,FLACON DE 30 GR,DERMATOLOGIE-VENEROLOGIE,"45,8"
Commercialisé,MYCODERME,150   MG,OVULE,BOITE DE 3,DERMATOLOGIE-VENEROLOGIE,"35,5"
Commercialisé,MYCOPHENOLATE MOFETIL NORMON,250   MG,COMPRIME,BOITE DE 100,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,606
Commercialisé,MYCOPHENOLATE MOFETIL NORMON,500   MG,COMPRIME,BOITE DE 50,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,638
Commercialisé,OMEPRAZOLE NORMON,40   MG,LYOPHILISAT POUR PERFUSION IV,BOITE DE 1 FLACON,GASTRO-ENTERO-HEPATOLOGIE,"44,8"
Commercialisé AO,OMEPRAZOLE NORMON,40   MG,LYOPHILISAT POUR PERFUSION IV,BOITE DE 50 FL,GASTRO-ENTERO-HEPATOLOGIE,1453
Non Commercialisé,ONDANSETRON NORMON,4   MG  /  2  ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 2 ML,CANCEROLOGIE-HEMATOLOGIE,242
Commercialisé,ONDANSETRON NORMON,4   MG  /  2  ML,SOLUTION INJECTABLE,BOITE DE 50 AMPOULES DE 2 ML,CANCEROLOGIE-HEMATOLOGIE,1775
Commercialisé,ONDANSETRON NORMON,8   MG  /  4  ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 4 ML,CANCEROLOGIE-HEMATOLOGIE,348
Commercialisé,ONDANSETRON NORMON,8   MG  /  4  ML,SOLUTION INJECTABLE,BOITE DE 50 AMPOULES DE 4 ML,CANCEROLOGIE-HEMATOLOGIE,2646
Commercialisé,PROJEVA,100   MG,CAPSULE MOLLE ORALE OU VAGINALE,BOITE DE 30,GYNECOLOGIE-OBSTETRIQUE,"52,1"
Commercialisé,PROJEVA,100   MG,CAPSULE MOLLE ORALE OU VAGINALE,BOITE DE 90,GYNECOLOGIE-OBSTETRIQUE,"133,2"
Commercialisé,PROJEVA,200   MG,CAPSULE MOLLE ORALE OU VAGINALE,BOITE DE 15,GYNECOLOGIE-OBSTETRIQUE,"62,1"
Commercialisé,PROJEVA,200   MG,CAPSULE MOLLE ORALE OU VAGINALE,BOITE DE 45,GYNECOLOGIE-OBSTETRIQUE,"156,6"
Retiré du Marché,PROMET,500   MG,OVULE,BOITE DE 10,-,27
Commercialisé,ROMAC,150   MG,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"66,4"
Commercialisé,ROMAC,300   MG,COMPRIME PELLICULE,BOITE DE 7,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"78,2"
Commercialisé,SALCROZINE FAES,500   MG,COMPRIME GASTRO-RESISTANT,BOITE DE 100,GASTRO-ENTERO-HEPATOLOGIE,274
Commercialisé,SEPCEN,250   MG,COMPRIME,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"51,4"
Commercialisé,SEPCEN,500   MG,COMPRIME,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"74,8"
Commercialisé,SEPCEN,750   MG,COMPRIME,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,338
Commercialisé,SERDEP,20   MG,GELULE,BOITE DE 14,NEUROLOGIE-PSYCHIATRIE,"83,8"
Commercialisé,SERDEP,20   MG,GELULE,BOITE DE 28,NEUROLOGIE-PSYCHIATRIE,"152,5"
Non Commercialisé,TENSEMIDE,10   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"47,1"
Non Commercialisé,TENSEMIDE,"2,5   MG",COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"33,3"
Non Commercialisé,TENSEMIDE,5   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"39,3"
Commercialisé,TERAZOSINE NORMON,2   MG,COMPRIME,BOITE DE 15,UROLOGIE-NEPHROLOGIE,"42,3"
Commercialisé,TERAZOSINE NORMON,5   MG,COMPRIME,BOITE DE 30,UROLOGIE-NEPHROLOGIE,"79,5"
Commercialisé,TMS,500   MG,COMPRIME,BOITE DE 2,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"37,4"
Commercialisé,TRAMADOL NORMON,50   MG,GELULE,BOITE DE 20,ANESTHESIE-REANIMATION,"26,2"
Non Commercialisé,VANCOMYCINE NORMON,1 G,LYOPHYLISAT POUR PERFUSION IV,BOITE DE 1 FLACON,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,319
Non Commercialisé,VANCOMYCINE NORMON,1 G,LYOPHYLISAT POUR PERFUSION IV,BOITE DE 100 FL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,17409
Non Commercialisé,VANCOMYCINE NORMON,500   MG,LYOPHYLISAT POUR PERFUSION IV,BOITE DE 1 FLACON,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"177,6"
Commercialisé AO,VANCOMYCINE NORMON,500   MG,LYOPHYLISAT POUR PERFUSION IV,BOITE DE 100 FL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,9025
Commercialisé,VENULA,200   MG,GELULE,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"35,5"
Commercialisé,VENULA,200   MG,GELULE,BOITE DE 60,GASTRO-ENTERO-HEPATOLOGIE,"91,6"
Commercialisé,YODOCEFOL,400 µG  /  2 µG  /  262 µG,COMPRIME,BOITE DE 20,METABOLISME-DIABETE-NUTRITION,"66,4"
Commercialisé,BROCLAR,"15   MG  /  5  ML (0,30%)",SIROP,FLACON DE 200ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,28
